consolidated_latitude,consolidated_longitude,cluster
43.836565,5.042062,1
43.834221,5.025387,1
43.834221,5.025387,1
43.837815,5.08957,1
43.837815,5.08957,1
43.838673,5.040249,1
43.834265,5.035281,1
43.834265,5.035281,1
43.833795,5.039958,1
43.833795,5.039958,1
44.005089,4.92151,1
43.747288,5.316961,1
43.747288,5.316961,1
43.845744,5.113489,1
43.843647,5.113726,1
43.847324,5.107641,1
43.853712,5.102353,1
43.955152,5.027168,1
43.955152,5.027168,1
48.693144,2.157485,0
48.6969,2.159491,0
48.690066,2.152018,0
48.690066,2.152018,0
48.694035,2.152498,0
48.694035,2.152498,0
48.6971,2.163781,0
48.69821,2.164488,0
48.697716,2.15864,0
48.808019,2.267834,0
48.784747,2.23637,0
48.804229,2.267296,0
48.804612,2.260237,0
48.789219,2.292852,0
48.790756,2.287036,0
48.783485,2.283107,0
48.795044,2.274352,0
48.779717,2.273545,0
48.783674,2.271471,0
48.776093,2.265618,0
48.776574,2.256413,0
48.776574,2.256413,0
48.782032,2.254679,0
48.787614,2.264156,0
48.78001,2.25948,0
48.774906,2.261501,0
48.775787,2.255673,0
48.783027,2.278125,0
48.781822,2.263835,0
48.785121,2.277398,0
48.781828,2.271144,0
48.775237,2.25847,0
48.779125,2.250893,0
48.779125,2.250893,0
48.775239,2.251272,0
48.783878,2.254998,0
48.788036,2.270138,0
48.84965,2.18412,0
48.84965,2.18412,0
48.849002,2.200763,0
48.849002,2.200763,0
48.844752,2.186539,0
48.844752,2.186539,0
48.840924,2.181516,0
48.840924,2.181516,0
48.842788,2.198811,0
48.842788,2.198811,0
48.85446,2.19756,0
48.85446,2.19756,0
48.846928,2.193663,0
48.846928,2.193663,0
48.85195,2.1973,0
48.85195,2.1973,0
48.847349,2.197545,0
48.847349,2.197545,0
44.48,-1.08,4
43.570099,7.005276,1
43.583973,7.123361,1
43.628653,7.096315,1
43.628653,7.096315,1
43.583973,7.123361,1
43.595834,7.091817,1
43.567243,6.948066,1
43.567243,6.948066,1
43.575086,7.021575,1
43.655693,6.922162,1
43.553686,7.025539,1
43.5569,7.01392,1
43.605541,7.076204,1
43.548501,7.032011,1
43.543026,7.038457,1
43.52533,6.941249,1
43.521552,6.939465,1
43.487486,6.944397,1
43.624772,7.030741,1
43.643076,6.97701,1
43.63239724295911,6.954725163045845,1
43.607211,6.955042,1
43.607211,6.955042,1
43.651211,6.92296,1
43.549382,7.000926,1
43.573163,7.125101,1
43.5515,6.959911,1
43.70119,7.121963,1
43.653981,6.927584,1
43.621304,6.969609,1
43.621304,6.969609,1
43.639542,6.912976,1
43.570758,7.111934,1
43.571659,7.101737,1
43.618336,7.074897,1
43.589903,7.040892,1
43.5519,6.953956,1
43.62708,7.04087,1
43.583708,6.997921,1
43.583317,7.108882,1
43.589162,7.09906,1
43.622951,7.051729,1
43.657753,6.920752,1
43.597811,6.954077,1
43.5397,7.03597,1
43.53673,7.03772,1
43.560735,7.022008,1
43.623628,7.044712,1
44.09177726531794,6.935223936755503,1
44.095253,6.928848,1
44.10458516422241,6.939929163159948,1
43.656872,6.927089,1
43.589499,7.12429,1
43.865682,6.802294,1
43.848226,6.725537,1
44.08881,6.853837,1
44.142858,6.761461,1
44.089531,6.854609,1
43.999862,6.829526,1
44.087471,6.835645,1
44.116352,6.906609,1
43.637276,6.932813,1
44.026512,6.81205,1
43.955964,6.895762,1
43.955574,6.892666,1
43.989648,6.990858,1
43.995534,7.016601,1
44.032071,7.035057,1
44.094825,6.989727,1
43.9360904437148,7.095534638588319,1
43.580189,6.947942,1
43.937045,7.096915,1
43.947858,7.008847,1
43.948198,7.009405,1
43.942747,7.125003,1
43.858005,6.914737,1
43.87297973545825,6.964285207774337,1
43.978437,7.031442,1
43.863651,7.091959,1
43.874919,7.082716,1
43.874341,7.004788,1
43.550552,7.002274,1
43.909768,6.982924,1
43.927462,6.947498,1
43.901386,7.112363,1
43.881513,7.156247,1
43.542004,6.961662,1
43.574724,6.998693,1
43.570407,7.021517,1
43.545788,6.938977,1
43.61813,7.074646,1
43.782424,6.954072,1
43.890183,6.822841,1
43.660826,6.923529,1
43.60133,6.909623,1
43.650382,6.815823,1
43.641144,7.142079,1
43.571381,7.111563,1
43.564065,7.067558,1
43.597408,7.067345,1
43.576122,7.088415,1
43.607716,6.913658,1
43.427411,6.752546,1
43.390956,6.728577,1
43.419192,6.746812,1
43.43767238512311,6.7412689098372,1
43.43767238512311,6.7412689098372,1
43.453096,6.686872,1
43.45656,6.683534,1
43.456775,6.686489,1
43.456133,6.685972,1
43.455993,6.688753,1
43.580116,7.120677,1
43.656429,6.920399,1
43.499395,6.646478,1
43.341849,6.694257,1
